City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,salalah,17.0151,54.0924,23.05,53,20,1.03,OM,1675102612
205,leshukonskoye,64.8989,45.7622,-7.22,92,100,5.19,RU,1675102795
206,sitka,57.0531,-135.33,2.94,87,100,2.06,US,1675102796
207,hervey bay,-25.2986,152.8535,25.21,72,100,4.27,AU,1675102523
208,sinnamary,5.3833,-52.95,25.69,83,66,3.78,GF,1675102619
209,strathblane,55.986,-4.3066,7.34,82,100,3.6,GB,1675102797
210,wamba,8.9333,8.6,32.2,25,28,2.11,NG,1675102797
211,penalva,-3.2942,-45.1736,27.49,82,83,1.4,BR,1675102799
212,bana,5.1481,10.2762,18.94,80,62,1.21,CM,1675102799
213,broken hill,-31.95,141.4333,19.51,48,55,7.33,AU,1675102554
214,aklavik,68.2191,-135.0107,-33.83,100,79,1.79,CA,1675102579
215,camocim,-2.9022,-40.8411,27.2,76,40,5.45,BR,1675102692
216,maningrida,-12.0667,134.2667,26.62,85,100,2.15,AU,1675102801
217,mazagao,-0.115,-51.2894,27.99,76,52,1.3,BR,1675102802
